Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity
1;Size:select:1;34:1;1;1
1;Size:select:2;36:2;26;1
1;Size:select:3;38:3;12;1
1;Size:select:4;40:4;11;1
1;Size:select:5;42:5;3;1
1;Size:select:6;44:6;28;1
2;Size:select:1;XS:1;26;1
2;Size:select:2;S:2;26;1
2;Size:select:3;M:3;25;1
2;Size:select:4;L:4;21;1
2;Size:select:5;XL:5;22;1
2;Size:select:6;XXL:6;23;1
3;Size:select:1;XXS:1;27;1
3;Size:select:2;XS:2;7;1
3;Size:select:3;S:3;28;1
3;Size:select:4;M:4;28;1
3;Size:select:5;L:5;6;1
4;Size:select:1;XS:1;24;1
4;Size:select:2;S:2;20;1
4;Size:select:3;M:3;23;1
4;Size:select:4;XL:4;8;1
5;Size:select:1;30:1;20;1
5;Size:select:2;32:2;12;1
5;Size:select:3;34:3;11;1
5;Size:select:4;36:4;3;1
5;Size:select:5;38:5;23;1
5;Size:select:6;40:6;11;1
5;Size:select:7;42:7;28;1
5;Size:select:8;44:8;12;1
6;Size:select:1;34x32:1;10;1
6;Size:select:2;36x30:2;15;1
6;Size:select:3;36x32:3;6;1
6;Size:select:4;36x34:4;11;1
6;Size:select:5;38x30:5;5;1
6;Size:select:6;38x32:6;24;1
6;Size:select:7;38x34:7;19;1
6;Size:select:8;40x30:8;25;1
6;Size:select:9;40x32:9;16;1
6;Size:select:10;40x34:10;9;1
6;Size:select:11;42x30:11;17;1
6;Size:select:12;42x32:12;5;1
7;Size:select:1;S:1;15;1
7;Size:select:2;M:2;18;1
7;Size:select:3;L:3;18;1
7;Size:select:4;XL:4;23;1
7;Size:select:5;XXL:5;21;1
7;Size:select:6;3XL:6;17;1
9;Size:select:1;XS:1;6;1
9;Size:select:2;S:2;6;1
9;Size:select:3;M:3;20;1
9;Size:select:4;L:4;12;1
9;Size:select:5;XL:5;13;1
9;Size:select:6;XXL:6;18;1
10;Size:select:1;XS:1;26;1
10;Size:select:2;L:2;12;1
10;Size:select:3;XL:3;11;1
10;Size:select:4;XXL:4;14;1
10;Size:select:5;3XL:5;1;1
11;Size:select:1;30:1;7;1
11;Size:select:2;32:2;10;1
11;Size:select:3;34:3;17;1
11;Size:select:4;36:4;27;1
11;Size:select:5;38:5;14;1
