ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;1;LOGO SLIM TEE - T-shirt z nadrukiem - bright white;Kobieta/Odzież;129;1;129;1;;;;;RF-demo_2;RF-demo_2;Calvin Klein Jeans;Calvin Klein Jeans;8406531750808;;0;1.79;0.13;0.72999999999999998;1.5800000000000001;11;1;both;5;;;LOGO SLIM TEE - T-shirt z nadrukiem - bright white,  Calvin Klein Jeans;Nazwa: LOGO SLIM TEE - T-shirt z nadrukiem - bright white.  Firma: Calvin Klein Jeans. Rozmiary: S, M, L, XL;calvin,klein,jeans;LOGO SLIM TEE - T-shirt z nadrukiem - bright white;calvin klein jeans logo slim;clothing - LOGO SLIM TEE - T-shirt z nadrukiem - bright white;calvin-klein-jeans-logo-slim-tee-t-shirt-z-nadrukiem-bright-white-c1821d08i-a11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/C1/82/1D/08/IA/11/C1821D08I-A11@13.2.jpg;1;;1;new;0;1;0;0;0;0;0;0
2;1;DISRUPTOR - Sneakersy niskie - antique white;Kobieta/Obuwie;409;1;409;1;;;;;RF-demo_3;RF-demo_3;Fila;Fila;8313943382177;;0;1.9199999999999999;2.5499999999999998;3.04;1.74;25;1;both;13;;;DISRUPTOR - Sneakersy niskie - antique white,  Fila;Nazwa: DISRUPTOR - Sneakersy niskie - antique white.  Firma: Fila. Rozmiary: 36, 37, 38, 39, 40, 41, 42;fila,disruptor,sneakersy;DISRUPTOR - Sneakersy niskie - antique white;fila disruptor sneakersy niskie 1fi11a004;shoe - DISRUPTOR - Sneakersy niskie - antique white;fila-disruptor-sneakersy-niskie-1fi11a004-a15;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/1F/I1/1A/00/4A/15/1FI11A004-A15@17.jpg;1;;1;new;0;1;0;0;0;0;0;0
3;1;VENUS - Prochowiec - tabac;Kobieta/Odzież;549.9;1;549.9;1;;;;;RF-demo_4;RF-demo_4;Mango;Mango;3282716602157;;0;0.5;1.79;3.8500000000000001;2.5899999999999999;1;1;both;8;;;VENUS - Prochowiec - tabac,  Mango;Nazwa: VENUS - Prochowiec - tabac.  Firma: Mango. Rozmiary: XS, S, M, L;mango,venus,plaszcz;VENUS - Prochowiec - tabac;mango venus plaszcz welniany plaszcz;clothing - VENUS - Prochowiec - tabac;mango-venus-plaszcz-welniany-plaszcz-klasyczny-m9121u0kj-o11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/M9/12/1U/0K/JO/11/M9121U0KJ-O11@16.jpg;1;;1;new;0;1;0;0;0;0;0;0
4;1;Kurtka ze skóry ekologicznej - black;Kobieta/Odzież;249;1;249;1;;;;;RF-demo_5;RF-demo_5;PULL&BEAR;PULL&BEAR;1924332086507;;0;3.6299999999999999;0.69999999999999996;3.54;0.93999999999999995;11;1;both;7;;;Kurtka ze skóry ekologicznej - black,  PULL&BEAR;Nazwa: Kurtka ze skóry ekologicznej - black.  Firma: PULL&BEAR. Rozmiary: XS, S, M, L;pullandbear,kurtka,ze;Kurtka ze skóry ekologicznej - black;pullandbear kurtka ze skory ekologicznej;clothing - Kurtka ze skóry ekologicznej - black;pullandbear-kurtka-ze-skory-ekologicznej-black-puc21g05y-q11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/PU/C2/1G/05/YQ/11/PUC21G05Y-Q11@28.jpg;1;;1;new;0;1;0;0;0;0;0;0
5;1;FARBIGE MOM - Jeansy Slim Fit - blue;Kobieta/Odzież;79.9;1;79.9;1;;;;;RF-demo_6;RF-demo_6;PULL&BEAR;PULL&BEAR;3456612401963;;0;0.83999999999999997;3.6299999999999999;0.79000000000000004;1.6699999999999999;35;1;both;16;;;FARBIGE MOM - Jeansy Slim Fit - blue,  PULL&BEAR;Nazwa: FARBIGE MOM - Jeansy Slim Fit - blue.  Firma: PULL&BEAR. Rozmiary: 32, 34, 36, 38, 40, 42;pullandbear,jeansy,slim;FARBIGE MOM - Jeansy Slim Fit - blue;pullandbear jeansy slim fit blue;clothing - FARBIGE MOM - Jeansy Slim Fit - blue;pullandbear-jeansy-slim-fit-blue-puc21n07u-k11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/PU/C2/1N/07/UK/11/PUC21N07U-K11@27.jpg;1;;1;new;0;1;0;0;0;0;0;0
6;1;TOBI SKIRT - Spódnica z zakładką - black;Kobieta/Odzież;189;1;189;1;;;;;RF-demo_7;RF-demo_7;4th & Reckless;4th & Reckless;7153370556082;;0;3.1899999999999999;0.26000000000000001;0.46000000000000002;3.4700000000000002;35;1;both;14;;;TOBI SKIRT - Spódnica z zakładką - black,  4th & Reckless;Nazwa: TOBI SKIRT - Spódnica z zakładką - black.  Firma: 4th & Reckless. Rozmiary: 34, 36, 40, 42, 44;4th,and,reckless;TOBI SKIRT - Spódnica z zakładką - black;4th and reckless tobi skirt;clothing - TOBI SKIRT - Spódnica z zakładką - black;4th-and-reckless-tobi-skirt-spodnica-mini-black-4t021b00o-q11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/4T/02/1B/00/OQ/11/4T021B00O-Q11@7.1.jpg;1;;1;new;0;1;0;0;0;0;0;0
7;1;NECK LOGO MODERN STRAIGHT CROP - T-shirt z nadrukiem - ck black;Kobieta/Odzież;179;1;179;1;;;;;RF-demo_8;RF-demo_8;Calvin Klein Jeans;Calvin Klein Jeans;8268411075542;;0;1.8799999999999999;1.9399999999999999;2.0299999999999998;2.4199999999999999;8;1;both;3;;;NECK LOGO MODERN STRAIGHT CROP - T-shirt z nadrukiem - ck black,  Calvin Klein Jeans;Nazwa: NECK LOGO MODERN STRAIGHT CROP - T-shirt z nadrukiem - ck black.  Firma: Calvin Klein Jeans. Rozmiary: XS, M, L, XL;calvin,klein,jeans;NECK LOGO MODERN STRAIGHT CROP - T-shirt z nadrukiem - ck black;calvin klein jeans neck logo;clothing - NECK LOGO MODERN STRAIGHT CROP - T-shirt z nadrukiem - ck black;calvin-klein-jeans-neck-logo-modern-straight-crop-t-shirt-z-nadrukiem-c1821d085-q11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/C1/82/1D/08/5Q/11/C1821D085-Q11@14.jpg;1;;1;new;0;1;0;0;0;0;0;0
8;1;Spodnie treningowe - black;Kobieta/Odzież;199;1;199;1;;;;;RF-demo_9;RF-demo_9;adidas Originals;adidas Originals;6275066019435;;0;1.3400000000000001;3.4100000000000001;2.3700000000000001;1.1799999999999999;24;1;both;12;;;Spodnie treningowe - black,  adidas Originals;Nazwa: Spodnie treningowe - black.  Firma: adidas Originals. Rozmiary: 32, 34, 36, 38, 40, 42, 44;adidas,originals,adicolor;Spodnie treningowe - black;adidas originals adicolor spodnie treningowe;clothing - Spodnie treningowe - black;adidas-originals-adicolor-spodnie-treningowe-ad121a099-q11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/AD/12/1A/09/9Q/11/AD121A099-Q11@10.jpg;1;;1;new;0;1;0;0;0;0;0;0
9;1;ADVENT CALENDAR 2019 - Kalendarz adwentowy - -;Kobieta/Kosmetyki;329;1;329;1;;;;;RF-demo_10;RF-demo_10;Zalando Beauty;Zalando Beauty;9667365230331;;0;0.68999999999999995;1.47;2.7000000000000002;0.64000000000000001;2;1;both;3;;;ADVENT CALENDAR 2019 - Kalendarz adwentowy - -,  Zalando Beauty;"Nazwa: ADVENT CALENDAR 2019 - Kalendarz adwentowy - -.  Firma: Zalando Beauty. ";zalando,beauty,advent;ADVENT CALENDAR 2019 - Kalendarz adwentowy - -;zalando beauty advent calendar 2019;beauty - ADVENT CALENDAR 2019 - Kalendarz adwentowy - -;zalando-beauty-advent-calendar-2019-kalendarz-adwentowy-zah31g001-s11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/ZA/H3/1G/00/1S/11/ZAH31G001-S11@16.jpg;1;;1;new;0;1;0;0;0;0;0;0
10;1;Sneakersy niskie - green;Kobieta/Obuwie;299;1;299;1;;;;;RF-demo_11;RF-demo_11;New Balance;New Balance;1125722928218;;0;2.8700000000000001;0.84999999999999998;2.9900000000000002;3.27;7;1;both;7;;;Sneakersy niskie - green,  New Balance;Nazwa: Sneakersy niskie - green.  Firma: New Balance. Rozmiary: 36, 37, 37.5, 38, 39, 41, 41.5;new,balance,wl373;Sneakersy niskie - green;new balance wl373 sneakersy niskie;shoe - Sneakersy niskie - green;new-balance-wl373-sneakersy-niskie-green-ne211a08v-m11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/NE/21/1A/08/VM/11/NE211A08V-M11@13.jpg;1;;1;new;0;1;0;0;0;0;0;0
11;1;Jeansy Skinny Fit - black;Kobieta/Odzież;59.9;1;59.9;1;;;;;RF-demo_12;RF-demo_12;PULL&BEAR;PULL&BEAR;2399667341219;;0;0.27000000000000002;0.26000000000000001;3.0099999999999998;3.6600000000000001;25;1;both;11;;;Jeansy Skinny Fit - black,  PULL&BEAR;Nazwa: Jeansy Skinny Fit - black.  Firma: PULL&BEAR. Rozmiary: 32, 34, 36, 38, 40, 42;pullandbear,jeansy,skinny;Jeansy Skinny Fit - black;pullandbear jeansy skinny fit black;clothing - Jeansy Skinny Fit - black;pullandbear-jeansy-skinny-fit-black-puc21n05h-q11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/PU/C2/1N/05/HQ/11/PUC21N05H-Q11@36.jpg;1;;1;new;0;1;0;0;0;0;0;0
12;1;NMMAJ V-NECK - Sweter - brown sugar;Kobieta/Odzież;149;1;149;1;;;;;RF-demo_13;RF-demo_13;Noisy May Petite;Noisy May Petite;9522691919194;;0;2.2200000000000002;1.03;2.2400000000000002;1.05;7;1;both;10;;;NMMAJ V-NECK - Sweter - brown sugar,  Noisy May Petite;Nazwa: NMMAJ V-NECK - Sweter - brown sugar.  Firma: Noisy May Petite. Rozmiary: 34, 36, 38, 40, 42;noisy,may,petite;NMMAJ V-NECK - Sweter - brown sugar;noisy may petite nmmaj v;clothing - NMMAJ V-NECK - Sweter - brown sugar;noisy-may-petite-nmmaj-v-neck-sweter-brown-sugar-nm521i01c-o11;W magazynie;Dostepny;1;2019-11-5;2019-11-5;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/NM/52/1I/01/CO/11/NM521I01C-O11@12.jpg;1;;1;new;0;1;0;0;0;0;0;0
